Date,High_F,Low_F,Precip_in,Snow_in,Snow depth_in
1-Jun-14,81,51.1,0,0,0
2-Jun-14,81,34,0,0,0
3-Jun-14,86,57.9,0,0,0
4-Jun-14,82.9,42.1,0,0,0
5-Jun-14,82,36,0,0,0
6-Jun-14,82.9,37.9,0,0,0
7-Jun-14,84.9,43,0,0,0
8-Jun-14,84,44.1,0,0,0
9-Jun-14,84.9,39,0,0,0
10-Jun-14,82.9,39.9,0,0,0
11-Jun-14,84.9,57,0,0,0
12-Jun-14,79,48,0,0,0
13-Jun-14,82,48,0,0,0
14-Jun-14,80.1,59,0,0,0
15-Jun-14,78.1,41,0,0,0
16-Jun-14,75.9,55.9,0,0,0
17-Jun-14,78.1,57.9,0,0,0
18-Jun-14,75.9,55,0,0,0
19-Jun-14,73.9,37.9,0,0,0
20-Jun-14,80.1,41,0,0,0
21-Jun-14,84,54,0,0,0
22-Jun-14,82.9,48,0,0,0
23-Jun-14,82.9,46.9,0,0,0
24-Jun-14,84,48.9,0,0,0
25-Jun-14,82,48.9,0,0,0
26-Jun-14,82,57.9,0,0,0
27-Jun-14,81,46.9,0,0,0
28-Jun-14,84.9,48.9,0,0,0
29-Jun-14,86,55.9,0,0,0
30-Jun-14,88,55.9,0,0,0
1-Jul-14,90,63,0,0,0
2-Jul-14,79,52,0,0,0
3-Jul-14,89.1,60.1,0,0,0
4-Jul-14,79,55.9,0.48,0,0
5-Jul-14,79,51.1,0,0,0
6-Jul-14,81,55.9,0,0,0
7-Jul-14,81,57.9,0.1,0,0
8-Jul-14,66.9,52,0.12,0,0
9-Jul-14,84,54,0.25,0,0
10-Jul-14,79,50,0,0,0
11-Jul-14,79,51.1,0,0,0
12-Jul-14,84.9,57,0,0,0
13-Jul-14,86,52,0,0,0
14-Jul-14,86,57,0.6,0,0
15-Jul-14,64.9,57,1.36,0,0
16-Jul-14,73,59,0,0,0
17-Jul-14,72,60.1,0.1,0,0
18-Jul-14,82.9,62.1,0,0,0
19-Jul-14,84,61,0,0,0
20-Jul-14,82.9,55.9,0,0,0
21-Jul-14,82,55,0,0,0
22-Jul-14,84,50,0,0,0
23-Jul-14,87.1,60.1,0,0,0
24-Jul-14,81,63,0.05,0,0
25-Jul-14,84,53.1,0,0,0
26-Jul-14,84,52,0,0,0
27-Jul-14,84,52,0,0,0
28-Jul-14,84.9,54,0.4,0,0
29-Jul-14,75.9,50,0.05,0,0
30-Jul-14,82,51.1,0,0,0
31-Jul-14,84.9,57,0,0,0
1-Aug-14,79,55,0.25,0,0
2-Aug-14,82,59,0,0,0
3-Aug-14,71.1,55,0,0,0
4-Aug-14,73.9,53.1,0.53,0,0
5-Aug-14,75.9,46,0,0,0
6-Aug-14,80.1,46.9,0,0,0
7-Aug-14,81,46.9,0,0,0
8-Aug-14,81,48,0,0,0
9-Aug-14,82.9,50,0,0,0
10-Aug-14,86,55,0,0,0
11-Aug-14,87.1,52,0,0,0
12-Aug-14,84,57,0.31,0,0
13-Aug-14,77,55.9,0.85,0,0
14-Aug-14,73,52,0.12,0,0
15-Aug-14,79,54,0,0,0
16-Aug-14,82,53.1,0,0,0
17-Aug-14,84,52,-,0,0
18-Aug-14,86,60.1,-,0,0
19-Aug-14,70,55,0.56,0,0
20-Aug-14,64.9,54,0.96,0,0
21-Aug-14,75,50,0,0,0
22-Aug-14,63,46,0.27,0,0
23-Aug-14,71.1,50,0,0,0
24-Aug-14,73.9,44.1,0,0,0
25-Aug-14,73.9,54,0,0,0
26-Aug-14,75.9,54,0,0,0
27-Aug-14,68,48,1.2,0,0
28-Aug-14,75,45,0.05,0,0
29-Aug-14,75.9,42.1,0,0,0
30-Aug-14,81,43,0,0,0
31-Aug-14,81,57.9,0,0,0
