Date,High_F,Low_F,Precip_in,Snow_in,Snow depth_in
1-Jun-17,78.1,44.1,0.01,0,0
2-Jun-17,73,41,0,0,0
3-Jun-17,75,39.9,0,0,0
4-Jun-17,80.1,42.1,0,0,0
5-Jun-17,82.9,48,0,0,0
6-Jun-17,84.9,48,0,0,0
7-Jun-17,84,44.1,0,0,0
8-Jun-17,87.1,44.1,0,0,0
9-Jun-17,84,52,0,0,0
10-Jun-17,82,51.1,0,0,0
11-Jun-17,82,50,0,0,0
12-Jun-17,77,54,0,0,0
13-Jun-17,73.9,48.9,0,0,0
14-Jun-17,86,36,0,0,0
15-Jun-17,78.1,30.9,0,0,0
16-Jun-17,86,36,0,0,0
17-Jun-17,88,41,0,0,0
18-Jun-17,90,55.9,0,0,0
19-Jun-17,91,52,0,0,0
20-Jun-17,93.9,50,0,0,0
21-Jun-17,91.9,53.1,0,0,0
22-Jun-17,95,55.9,0,0,0
23-Jun-17,93,54,0,0,0
24-Jun-17,93,54,0,0,0
25-Jun-17,93.9,54,0,0,0
26-Jun-17,93.9,66,0.02,0,0
27-Jun-17,90,51.1,0,0,0
28-Jun-17,90,55,0,0,0
29-Jun-17,86,57,0,0,0
30-Jun-17,84.9,54,0,0,0
1-Jul-17,87.1,48.9,0,0,0
2-Jul-17,90,50,0,0,0
3-Jul-17,87.1,60.1,0,0,0
4-Jul-17,84.9,57,0,0,0
5-Jul-17,87.1,48.9,0,0,0
6-Jul-17,90,48,0,0,0
7-Jul-17,91.9,57.9,0.03,0,0
8-Jul-17,91.9,62.1,-,0,0
9-Jul-17,86,59,-,0,0
10-Jul-17,84.9,55,-,0,0
11-Jul-17,82,55,0,0,0
12-Jul-17,84.9,60.1,0.06,0,0
13-Jul-17,81,50,0.08,0,0
14-Jul-17,81,50,0.03,0,0
15-Jul-17,84,57,-,0,0
16-Jul-17,86,60.1,-,0,0
17-Jul-17,84.9,57,1.23,0,0
18-Jul-17,84.9,54,T,0,0
19-Jul-17,81,59,0.46,0,0
20-Jul-17,80.1,52,0.34,0,0
21-Jul-17,81,57,0.02,0,0
22-Jul-17,78.1,55.9,-,0,0
23-Jul-17,77,57,-,0,0
24-Jul-17,79,57.9,0.16,0,0
25-Jul-17,80.1,59,0.11,0,0
26-Jul-17,71.1,57.9,0,0,0
27-Jul-17,75,51.1,0.45,0,0
28-Jul-17,82,55,0.46,0,0
29-Jul-17,80.1,57,-,0,0
30-Jul-17,75,55,-,0,0
31-Jul-17,78.1,57,0.2,0,0
1-Aug-17,75.9,57,0.05,0,0
2-Aug-17,81,55,0.22,0,0
3-Aug-17,81,55,0,0,0
4-Aug-17,79,57.9,0,0,0
5-Aug-17,73.9,53.1,0.4,0,0
6-Aug-17,77,52,0.2,0,0
7-Aug-17,77,48.9,0,0,0
8-Aug-17,77,48.9,0,0,0
9-Aug-17,79,46,0,0,0
10-Aug-17,82,45,0,0,0
11-Aug-17,82.9,50,0,0,0
12-Aug-17,80.1,57.9,0,0,0
13-Aug-17,79,52,0.2,0,0
14-Aug-17,81,55,0.22,0,0
15-Aug-17,79,52,0,0,0
16-Aug-17,77,53.1,0,0,0
17-Aug-17,73.9,48.9,0,0,0
18-Aug-17,75.9,44.1,0,0,0
19-Aug-17,80.1,43,0,0,0
20-Aug-17,82.9,52,0,0,0
21-Aug-17,84.9,55,0.12,0,0
22-Aug-17,80.1,48.9,0.03,0,0
23-Aug-17,79,48,0,0,0
24-Aug-17,84,54,0.11,0,0
25-Aug-17,84,54,0,0,0
26-Aug-17,86,50,0,0,0
27-Aug-17,88,50,0,0,0
28-Aug-17,86,50,0.08,0,0
29-Aug-17,86,50,0.01,0,0
30-Aug-17,86,53.1,0.5,0,0
31-Aug-17,87.1,46.9,0.04,0,0
